postcode,lat,lng
1298,-33.7949,151.2681
1299,-33.7949,151.2681
1300,-33.8773,151.2209
1314,-33.9508,151.21
1335,-33.8227,151.1176
1340,-35.5377,148.021
1350,-33.8887,151.2405
1355,-33.8937,151.2625
1360,-33.8758,151.2419
1401,-33.8842,151.1998
1405,-33.8919,151.0477
1419,-34.0641,151.094
1420,-33.7261,150.9318
1422,-33.7261,150.9318
1423,-33.7261,150.9318
1424,-33.7261,150.9318
1425,-33.7261,150.9318
1426,-33.7261,150.9318
1427,-33.7261,150.9318
1428,-33.7261,150.9318
1429,-33.7261,150.9318
1430,-33.8902,151.1995
1435,-33.7118,151.1082
1440,-33.9028,151.0579
1441,-33.9028,151.0579
1445,-34.0831,151.0077
1450,-30.3058,153.1368
1455,-33.9471,151.1976
1460,-33.9267,151.2108
1465,-33.8885,151.1407
1466,-33.9066,151.2344
1470,-33.843,151.152
1475,-33.9091,151.1533
1476,-33.9091,151.1533
1480,-33.9359,151.1
1481,-33.9646,151.101
1484,-33.9386,151.101
1485,-33.9744,151.1403
1490,-34.0359,151.1072
1493,-33.9759,151.0889
1495,-34.0469,151.1239
1499,-34.0157,151.0622
1515,-33.8246,151.2073
1560,-33.8126,151.2148
1565,-33.8654,151.1931
1570,-33.8081,151.1927
1585,-33.8346,151.2009
1590,-33.292,151.4687
1595,-33.7919,151.188
1597,-33.7919,151.188
1602,-33.8148,151.166
1630,-33.7077,151.0998
1635,-33.7046,151.101
1639,-33.7931,151.2468
1640,-33.7931,151.2468
1655,-33.3298,151.5051
1658,-33.6988,151.2168
1660,-33.6988,151.2168
1670,-33.7932,151.12
1675,-33.833,151.1397
1680,-33.7615,151.1378
1685,-33.8041,151.0906
1700,-33.9503,151.207
1710,-33.7842,151.1167
1715,-33.7584,151.0491
1730,-33.7603,150.9669
1740,-33.8862,151.1395
1741,-33.8862,151.1395
1750,-33.8571,151.0231
1755,-33.7672,150.9682
1765,-33.7359,151.0305
1771,-33.7584,151.0491
1781,-33.7779,150.932
1790,-33.859,151.1955
1800,-33.8876,151.124
1805,-33.8916,151.1008
1811,-33.8233,151.0514
1819,-33.8771,151.0933
1825,-33.8725,151.0448
1830,-33.8593,150.9486
1831,-33.8593,150.9486
1835,-33.8839,151.0238
1851,-33.8498,150.911
1860,-33.8505,150.9611
1871,-33.8883,151.1036
1874,-33.9357,150.9413
1875,-33.9357,150.9413
1885,-33.9074,151.0246
1888,-33.9074,151.0246
1890,-33.96,150.8021
1891,-33.9322,151.0002
2000,-33.8605,151.2016
2001,-33.7949,151.2681
2002,-33.8771,151.2069
2004,-33.908,151.19
2006,-33.8892,151.1865
2007,-33.8832,151.1967
2008,-33.8911,151.1939
2009,-33.8712,151.1931
2010,-33.8841,151.2123
2011,-33.8736,151.2216
2012,-33.7261,150.9318
2013,-33.7261,150.9318
2015,-33.9101,151.1948
2016,-33.8949,151.2062
2017,-33.9039,151.2063
2018,-33.9233,151.2027
2019,-33.9469,151.2073
2020,-33.9362,151.1768
